Date,symbol,signal,prev_high,prev_low,prev_close,atr,prob_hh,prob_hl
2015-06-25,CMG,-1.0,615.6900019999998,610.320007,610.530029,7.903467575769466,0.4742857142857143,0.3057142857142857
2015-06-26,CMG,-1.0,614.830017,607.22998,607.380005,7.873124518192523,0.32857142857142857,0.29428571428571426
2015-06-29,CMG,0.0,612.849976,605.380005,609.460022,7.832809166373269,0.5485714285714286,0.4542857142857143
2015-06-30,CMG,-1.0,607.0,599.5,600.049988,8.04553044973594,0.2857142857142857,0.26285714285714284
2015-07-01,CMG,0.0,608.3900150000002,599.289978,604.98999,8.150981104762362,0.6342857142857142,0.42
2015-07-02,CMG,-1.0,611.619995,603.549988,606.570007,8.14288369428613,0.46,0.36
2015-07-03,CMG,1.0,610.049988,604.539978,609.5599980000002,7.879596324857514,0.7085714285714285,0.5028571428571429
2015-07-07,CMG,1.0,609.849976,597.330017,607.169983,8.343632592371758,0.7257142857142858,0.7685714285714286
2015-07-08,CMG,1.0,622.8599849999998,605.6400150000002,620.5599980000002,9.231266333134547,0.8514285714285714,0.9285714285714286
2015-07-09,CMG,-1.0,624.530029,611.650024,612.849976,9.59614019982109,0.26,0.3
2015-07-10,CMG,1.0,631.0,617.47998,627.159973,10.451528579838984,0.6514285714285715,0.6057142857142858
2015-07-13,CMG,1.0,640.3099980000002,627.960022,639.419983,10.7213782218551,0.8085714285714286,0.8657142857142858
2015-07-14,CMG,1.0,658.369995,643.469971,658.0,11.544241599669592,0.8142857142857143,0.92
2015-07-15,CMG,-1.0,660.900024,654.200012,655.460022,11.059818639702634,0.4114285714285714,0.36857142857142855
2015-07-16,CMG,1.0,663.1099849999998,653.280029,661.1900019999998,10.936832375732351,0.5457142857142857,0.58
2015-07-17,CMG,-1.0,663.599976,654.73999,658.460022,10.72914773815911,0.35428571428571426,0.4514285714285714
2015-07-20,CMG,-1.0,664.27002,657.030029,661.950012,10.380232064343202,0.49714285714285716,0.42857142857142855
2015-07-21,CMG,1.0,681.5599980000002,665.0,678.0,11.303207457908899,0.5114285714285715,0.7257142857142858
2015-07-22,CMG,-1.0,679.369995,670.070007,673.070007,11.102885512118007,0.3342857142857143,0.39714285714285713
2015-07-23,CMG,1.0,729.650024,694.400024,725.820007,15.650598660906207,0.62,0.9028571428571428
2015-07-24,CMG,2.0,734.5,721.599976,725.9400019999998,15.375541194815588,0.4142857142857143,0.5228571428571429
2015-07-27,CMG,1.0,729.099976,724.3099980000002,728.789978,14.31698487533401,0.6485714285714286,0.6428571428571429
2015-07-28,CMG,1.0,733.799988,724.1400150000002,731.4400019999998,13.851283687800588,0.5628571428571428,0.6085714285714285
2015-07-29,CMG,0.0,737.469971,726.51001,730.780029,13.562151419020532,0.5285714285714286,0.4942857142857143
2015-07-30,CMG,2.0,739.48999,731.159973,738.419983,13.076932377118482,0.49714285714285716,0.62
2015-07-31,CMG,1.0,745.0,733.52002,744.159973,12.917237139406629,0.7371428571428571,0.88
2015-08-03,CMG,0.0,746.400024,740.1400150000002,742.22998,12.251514325465951,0.5371428571428571,0.35428571428571426
2015-08-04,CMG,1.0,744.6099849999998,735.1400150000002,743.039978,11.973359892919321,0.5828571428571429,0.58
2015-08-05,CMG,1.0,749.75,740.5599980000002,748.090027,11.695024103627372,0.6371428571428571,0.7257142857142858
2015-08-06,CMG,1.0,758.6099849999998,748.3900150000002,757.77002,11.57751749326462,0.66,0.78
2015-08-07,CMG,-1.0,758.48999,746.01001,749.599976,11.667763743938165,0.2057142857142857,0.2885714285714286
2015-08-10,CMG,1.0,751.969971,742.01001,749.119995,11.49698346954435,0.62,0.6028571428571429
2015-08-11,CMG,-1.0,755.669983,743.679993,744.23999,11.546284122589919,0.17142857142857143,0.2257142857142857
2015-08-12,CMG,1.0,749.880005,737.6900019999998,745.659973,11.610656010330944,0.5714285714285714,0.5971428571428572
2015-08-13,CMG,1.0,747.969971,733.960022,745.97998,11.85058530929785,0.8485714285714285,0.8285714285714286
2015-08-14,CMG,-1.0,749.97998,743.200012,743.599976,11.34352357836806,0.43142857142857144,0.31142857142857144
2015-08-17,CMG,1.0,748.700012,741.090027,748.340027,10.97016972053126,0.6371428571428571,0.56
2015-08-18,CMG,1.0,754.75,744.1900019999998,754.030029,10.929152548478152,0.8257142857142857,0.8714285714285714
2015-08-19,CMG,-1.0,758.27002,745.099976,745.919983,11.153241693630346,0.14,0.26857142857142857
2015-08-20,CMG,1.0,750.5599980000002,741.5,745.280029,10.943917324267328,0.5457142857142857,0.5542857142857143
2015-08-21,CMG,-1.0,744.77002,734.219971,735.150024,10.955531391840598,0.3057142857142857,0.48
2015-08-24,CMG,2.0,731.419983,718.5,720.01001,11.524980652656541,0.27714285714285714,0.5228571428571429
2015-08-25,CMG,2.0,723.450012,685.0,704.25,14.217483787390886,0.37142857142857144,0.5514285714285714
2015-08-26,CMG,-1.0,722.9400019999998,695.3900150000002,695.3900150000002,15.550734108651762,0.25142857142857145,0.3485714285714286
2015-08-27,CMG,1.0,708.23999,691.869995,707.6400150000002,15.632660197786587,0.6657142857142857,0.6514285714285715
2015-08-28,CMG,1.0,730.0,710.23999,727.169983,16.305392678007912,0.7485714285714286,0.8628571428571429
2015-08-31,CMG,0.0,728.169983,717.090027,721.200012,15.782849010207125,0.5028571428571429,0.4742857142857143
2015-09-01,CMG,-1.0,722.099976,707.5,710.01001,15.66456170918641,0.25142857142857145,0.47714285714285715
2015-09-02,CMG,1.0,714.1900019999998,696.099976,706.710022,15.907108138267754,0.5571428571428572,0.6542857142857142
2015-09-03,CMG,1.0,724.0,710.580017,723.869995,16.04539512444098,0.8,0.7628571428571429
2015-09-04,CMG,0.0,729.4400019999998,721.909973,724.98999,15.19385851199686,0.5,0.3314285714285714
2015-09-07,CMG,-1.0,729.909973,718.3599849999998,719.22998,14.829471460797194,0.32857142857142857,0.4085714285714286
2015-09-09,CMG,1.0,733.830017,721.880005,732.1400150000002,14.80652801471748,0.74,0.6028571428571429
2015-09-10,CMG,-1.0,736.01001,717.6400150000002,718.830017,15.16287471324571,0.18571428571428572,0.2885714285714286
2015-09-11,CMG,1.0,725.869995,718.0,723.1900019999998,14.433586741921141,0.6657142857142857,0.6457142857142857
2015-09-14,CMG,1.0,729.950012,714.02002,729.0599980000002,14.583227267729024,0.8914285714285715,0.88
2015-09-15,CMG,-1.0,730.5,723.070007,726.799988,13.867903840956117,0.49714285714285716,0.2857142857142857
2015-09-16,CMG,1.0,733.5,720.700012,732.080017,13.761112256860503,0.8942857142857142,0.8885714285714286
2015-09-17,CMG,0.0,734.75,725.1900019999998,730.01001,13.341000831174473,0.5228571428571429,0.4714285714285714
2015-09-18,CMG,2.0,738.98999,726.01001,730.200012,13.304898748057031,0.28,0.5
2015-09-21,CMG,1.0,731.590027,724.119995,729.47998,12.721412073251322,0.7628571428571429,0.6914285714285714
2015-09-22,CMG,-1.0,737.8599849999998,725.450012,731.1900019999998,12.69026816592617,0.4257142857142857,0.44857142857142857
2015-09-23,CMG,1.0,729.530029,722.0,726.969971,12.340241549333536,0.7485714285714286,0.6685714285714286
2015-09-24,CMG,1.0,733.219971,725.450012,731.570007,11.88321329440018,0.6285714285714286,0.5057142857142857
2015-09-25,CMG,1.0,731.950012,721.6099849999998,731.169983,11.728894664960182,0.8257142857142857,0.7857142857142857
2015-09-28,CMG,-1.0,741.8900150000002,728.4400019999998,730.280029,11.901006498464199,0.13428571428571429,0.3514285714285714
2015-09-29,CMG,-1.0,734.5,707.5,708.030029,13.410905848617778,0.14,0.19714285714285715
2015-09-30,CMG,1.0,721.159973,701.72998,708.539978,14.012814563756006,0.5971428571428572,0.5428571428571428
2015-10-01,CMG,1.0,720.710022,710.0,720.25,13.8285375073804,0.8742857142857143,0.8028571428571428
2015-10-02,CMG,1.0,724.570007,714.210022,724.429993,13.481682256642364,0.7942857142857143,0.6942857142857143
2015-10-05,CMG,1.0,724.450012,709.450012,724.450012,13.633514030978125,0.7857142857142857,0.76
2015-10-06,CMG,0.0,729.830017,723.52002,728.080017,12.901162327880309,0.6171428571428571,0.47714285714285715
2015-10-07,CMG,-1.0,727.599976,711.659973,713.25,13.253050495092277,0.14285714285714285,0.25142857142857145
2015-10-08,CMG,1.0,720.6900019999998,705.169983,720.159973,13.47974734558303,0.8914285714285715,0.8657142857142858
2015-10-09,CMG,1.0,738.469971,718.900024,734.77002,14.088767311024725,0.7971428571428572,0.9257142857142857
2015-10-12,CMG,-1.0,738.0,726.869995,732.929993,13.792891079922251,0.48857142857142855,0.41714285714285715
2015-10-13,CMG,1.0,750.5,729.210022,747.820007,14.542599771930028,0.8142857142857143,0.9314285714285714
2015-10-14,CMG,-1.0,757.0,747.0,750.419983,14.088339794737028,0.4857142857142857,0.3914285714285714
2015-10-15,CMG,2.0,742.400024,710.909973,718.5599980000002,16.630506815263324,0.12285714285714286,0.5342857142857143
2015-10-16,CMG,1.0,724.9400019999998,708.5,723.8099980000002,16.611456333736974,0.8228571428571428,0.68
2015-10-19,CMG,-1.0,728.23999,720.0599980000002,722.700012,15.768309900363263,0.46,0.40285714285714286
2015-10-20,CMG,1.0,725.169983,709.659973,718.6400150000002,15.742479910326932,0.6371428571428571,0.7057142857142857
2015-10-21,CMG,-1.0,720.5,705.630005,705.630005,15.655231419294239,0.21714285714285714,0.23714285714285716
2015-10-22,CMG,1.0,666.0,646.799988,665.669983,19.972709977364815,0.6057142857142858,0.6571428571428571
2015-10-23,CMG,-1.0,669.1099849999998,650.210022,650.619995,19.86543527962832,0.16,0.41714285714285715
2015-10-26,CMG,1.0,657.98999,645.130005,649.719971,19.16489025166549,0.5857142857142857,0.5285714285714286
2015-10-27,CMG,1.0,668.3599849999998,645.950012,659.6900019999998,19.489398526498924,0.64,0.7542857142857143
2015-10-28,CMG,0.0,662.97998,651.5599980000002,656.549988,18.68245687384901,0.5085714285714286,0.32
2015-10-29,CMG,0.0,658.76001,652.48999,654.8900150000002,17.441213186464104,0.6971428571428572,0.4342857142857143
2015-10-30,CMG,0.0,654.840027,647.3099980000002,648.200012,16.45509356781769,0.56,0.3657142857142857
2015-11-02,CMG,-1.0,653.27002,640.049988,640.22998,16.13158741103593,0.30857142857142855,0.46285714285714286
2015-11-03,CMG,1.0,631.0,608.52002,624.0,17.68942466993233,0.6,0.7057142857142857
2015-11-04,CMG,-1.0,631.47998,620.0,623.159973,17.068480202939092,0.44857142857142857,0.3457142857142857
2015-11-05,CMG,-1.0,626.799988,612.099976,614.97998,16.831633382645187,0.30857142857142855,0.24857142857142858
2015-11-06,CMG,1.0,619.179993,609.460022,617.22998,16.120467144380665,0.6542857142857142,0.6971428571428572
2015-11-09,CMG,1.0,613.48999,594.0,612.400024,16.831418429942595,0.6314285714285715,0.7342857142857143
2015-11-10,CMG,-1.0,622.0,606.090027,609.289978,16.73927388694834,0.4,0.46
2015-11-11,CMG,1.0,629.650024,617.0599980000002,628.880005,17.10135109825351,0.8114285714285714,0.6171428571428571
2015-11-12,CMG,-1.0,632.97998,619.349976,621.840027,16.754216388428155,0.30857142857142855,0.44285714285714284
2015-11-13,CMG,-1.0,624.590027,612.960022,614.679993,16.241795249585337,0.26857142857142857,0.26571428571428574
2015-11-16,CMG,-1.0,616.25,592.0599980000002,592.8900150000002,17.036615924626783,0.16,0.15142857142857144
2015-11-17,CMG,0.0,593.849976,583.070007,588.73999,16.4109512321641,0.6085714285714285,0.44
2015-11-18,CMG,-1.0,595.3900150000002,579.659973,583.580017,16.342860308947703,0.2,0.23714285714285716
2015-11-19,CMG,1.0,594.01001,580.780029,594.0,16.03157237805293,0.8542857142857143,0.9057142857142857
2015-11-20,CMG,1.0,614.700012,595.01001,611.51001,16.498416340247637,0.74,0.8885714285714286
2015-11-23,CMG,-1.0,614.700012,534.200012,536.1900019999998,22.898574706222874,0.16285714285714287,0.2342857142857143
2015-11-24,CMG,1.0,569.030029,532.030029,559.289978,24.308717235600586,0.6771428571428572,0.6342857142857142
2015-11-25,CMG,1.0,579.280029,553.159973,577.789978,24.489851112040526,0.88,0.8857142857142857
2015-11-26,CMG,2.0,585.799988,570.099976,580.830017,23.610867200836474,0.49142857142857144,0.5828571428571429
2015-11-30,CMG,-1.0,584.47998,575.780029,576.619995,22.119775580752822,0.36857142857142855,0.32
2015-12-01,CMG,1.0,584.22998,577.030029,579.549988,20.668796522677532,0.5914285714285714,0.5371428571428571
2015-12-02,CMG,-1.0,589.150024,575.0,580.73999,20.01691927040978,0.2714285714285714,0.3742857142857143
2015-12-03,CMG,-1.0,586.580017,571.52002,574.659973,19.521227043368796,0.21142857142857144,0.2057142857142857
2015-12-04,CMG,-1.0,578.650024,558.51001,565.3099980000002,19.583105739031925,0.32,0.42
2015-12-07,CMG,1.0,568.76001,537.169983,561.200012,20.78379786512873,0.6685714285714286,0.7657142857142857
2015-12-08,CMG,1.0,553.320007,515.0,551.75,23.325419278615858,0.64,0.7771428571428571
2015-12-09,CMG,1.0,550.0,521.01001,542.23999,24.066876350754278,0.5942857142857143,0.6257142857142857
