,Date,symbol,support,sup_li,resistance,res_li,prev_day_close,atr
54,2016-05-18,AET,107.32,5.0,111.21,20.0,110.2,2.44
55,2016-05-18,SYK,110.01,14.0,0.0,0.0,110.14,1.64
56,2016-05-18,AMT,103.96,17.0,106.91,5.0,105.37,1.46
57,2016-05-18,EOG,78.83,16.0,0.0,0.0,81.57,2.52
58,2016-05-18,CCL,49.62,27.0,0.0,0.0,49.93,1.0
59,2016-05-18,RTN,127.98,12.0,0.0,0.0,129.84,1.98
60,2016-05-18,MCK,169.0,20.0,0.0,0.0,173.51,4.63
61,2016-05-18,ITW,93.91,7.0,104.35,19.0,103.84,1.47
62,2016-05-18,EL,89.62,5.0,94.56,25.0,92.02,1.64
63,2016-05-18,TRV,107.43,6.0,112.02,10.0,110.42,1.48
64,2016-05-18,CME,93.88,19.0,0.0,0.0,94.45,1.37
65,2016-05-18,AEP,59.48,7.0,64.61,20.0,64.52,1.13
66,2016-05-18,MMC,63.66,11.0,0.0,0.0,64.05,0.79
67,2016-05-18,PRU,74.2,12.0,76.55,9.0,75.92,1.53
68,2016-05-18,YHOO,36.93,13.0,0.0,0.0,37.28,0.75
69,2016-05-18,PX,105.25,5.0,114.88,19.0,112.28,1.78
70,2016-05-18,CCI,88.22,10.0,0.0,0.0,90.13,1.17
71,2016-05-18,APD,142.59,11.0,145.64,5.0,142.89,2.31
72,2016-05-18,LUV,41.84,5.0,43.84,26.0,42.21,1.15
73,2016-05-18,INTU,102.01,11.0,0.0,0.0,102.16,1.7
74,2016-05-18,AON,105.02,16.0,0.0,0.0,105.73,1.28
75,2016-05-18,TSN,53.76,7.0,67.02,21.0,66.5,1.47
76,2016-05-18,K,74.95,5.0,76.3,16.0,75.42,1.18
77,2016-05-18,HUM,167.82,8.0,173.64,12.0,170.81,4.2
78,2016-05-18,AFL,65.85,7.0,68.79,14.0,68.45,0.84
79,2016-05-18,ALL,66.65,25.0,0.0,0.0,67.1,0.93
80,2016-05-18,SHW,261.44,5.0,293.49,10.0,292.68,4.76
81,2016-05-18,HPE,15.73,20.0,16.95,8.0,15.82,0.42
82,2016-05-18,JCI,40.97,11.0,0.0,0.0,42.5,0.81
83,2016-05-18,SYF,27.52,7.0,29.49,19.0,29.27,0.71
84,2016-05-18,EIX,60.36,8.0,71.42,10.0,70.12,1.17
85,2016-05-18,NSC,84.41,9.0,87.17,11.0,85.87,2.2
86,2016-05-18,BAX,38.07,30.0,45.7,7.0,44.6,0.89
87,2016-05-18,ZTS,43.1,5.0,46.98,12.0,46.5,0.95
88,2016-05-18,ED,69.84,6.0,73.92,14.0,72.28,1.49
89,2016-05-18,VRTX,78.93,6.0,84.39,21.0,80.71,3.36
90,2016-05-18,ADM,35.27,5.0,37.97,11.0,37.5,0.84
91,2016-05-18,XEL,40.26,15.0,41.47,6.0,40.87,0.67
92,2016-05-18,GLW,19.08,23.0,0.0,0.0,19.12,0.4
93,2016-05-18,EA,66.36,12.0,0.0,0.0,75.14,2.3
94,2016-05-18,DFS,52.19,13.0,54.78,12.0,53.75,0.95
95,2016-05-18,ZBH,116.02,15.0,0.0,0.0,118.5,1.84
96,2016-05-18,CPB,62.74,12.0,64.24,7.0,63.82,1.05
97,2016-05-18,SE,30.98,12.0,0.0,0.0,31.35,0.69
98,2016-05-18,APC,49.21,18.0,0.0,0.0,49.75,2.19
99,2016-05-18,BHI,45.23,10.0,0.0,0.0,46.8,1.73
100,2016-05-18,PCAR,55.17,9.0,56.99,10.0,56.41,1.34
101,2016-05-18,ES,53.73,5.0,56.8,15.0,55.82,0.98
102,2016-05-18,BXP,127.19,11.0,130.51,15.0,130.39,1.85
103,2016-05-18,MCO,92.94,8.0,95.58,17.0,93.7,1.81
104,2016-05-18,LVLT,50.93,10.0,52.46,15.0,51.77,1.12
105,2016-05-18,MAR,65.33,5.0,68.15,11.0,67.27,1.54
106,2016-05-18,TROW,73.25,10.0,74.29,5.0,74.09,1.27
107,2016-05-18,HIG,43.24,5.0,44.54,19.0,43.75,0.69
108,2016-05-18,CMI,110.63,6.0,114.53,10.0,114.28,2.76
109,2016-05-18,VNO,93.86,12.0,96.03,12.0,95.66,1.79
110,2016-05-18,APH,49.9,5.0,56.37,23.0,55.42,0.82
111,2016-05-18,RCL,73.65,6.0,77.82,22.0,76.06,2.09
112,2016-05-18,EXPE,110.99,15.0,116.41,5.0,111.63,2.59
113,2016-05-18,DISCA,26.61,7.0,27.76,19.0,27.46,0.87
114,2016-05-18,DISCK,26.15,9.0,27.28,17.0,26.46,0.77
115,2016-05-18,SJM,124.76,6.0,128.92,21.0,127.74,1.88
116,2016-05-18,O,62.29,24.0,0.0,0.0,62.5,1.28
117,2016-05-18,TYC,38.32,10.0,0.0,0.0,40.12,0.9
118,2016-05-18,IR,48.75,6.0,65.65,18.0,65.63,1.13
119,2016-05-18,SWK,110.65,17.0,0.0,0.0,113.5,1.58
120,2016-05-18,FE,32.71,10.0,33.77,8.0,32.98,0.71
121,2016-05-18,SNDK,75.57,26.0,76.71,12.0,76.19,0.53
122,2016-05-18,HSIC,170.34,15.0,0.0,0.0,170.56,3.05
123,2016-05-18,HCP,33.13,5.0,34.63,22.0,33.59,0.99
124,2016-05-18,ESS,219.28,7.0,228.16,12.0,224.28,4.51
125,2016-05-18,DVA,74.22,10.0,0.0,0.0,76.77,1.26
126,2016-05-18,NTRS,67.94,5.0,69.95,13.0,68.94,1.48
127,2016-05-18,ETR,75.73,12.0,0.0,0.0,75.82,1.13
128,2016-05-18,ADS,207.9,19.0,219.73,7.0,210.84,4.69
129,2016-05-18,NUE,40.64,5.0,48.15,15.0,46.57,1.22
130,2016-05-18,MHK,187.61,7.0,194.07,15.0,193.5,3.64
131,2016-05-18,L,39.66,11.0,0.0,0.0,39.68,0.55
132,2016-05-18,A,42.17,12.0,0.0,0.0,44.41,0.87
133,2016-05-18,WMB,19.45,25.0,0.0,0.0,21.51,1.2
