,Date,symbol,support,sup_count,resistance,res_count
147,2016-04-26,SRE,102.68,11.0,104.66,6.0
148,2016-04-26,SIG,0.0,0.0,113.71,12.0
149,2016-04-26,SLG,104.25,10.0,0.0,0.0
150,2016-04-26,SJM,126.07,5.0,128.55,24.0
151,2016-04-26,SO,47.88,5.0,49.78,16.0
152,2016-04-26,SE,30.95,10.0,0.0,0.0
153,2016-04-26,SPLS,10.65,10.0,11.27,5.0
154,2016-04-26,HOT,80.38,10.0,0.0,0.0
155,2016-04-26,SYMC,18.03,9.0,18.56,10.0
156,2016-04-26,TROW,76.9,10.0,0.0,0.0
157,2016-04-26,TEL,60.65,7.0,62.13,13.0
158,2016-04-26,TE,27.54,11.0,0.0,0.0
159,2016-04-26,TDC,25.81,21.0,0.0,0.0
160,2016-04-26,TSO,85.56,13.0,106.18,6.0
161,2016-04-26,HSY,89.45,6.0,91.29,16.0
162,2016-04-26,TRV,107.43,6.0,112.42,10.0
163,2016-04-26,TIF,72.1,10.0,0.0,0.0
164,2016-04-26,TJX,77.33,14.0,0.0,0.0
165,2016-04-26,TRIP,60.88,15.0,65.32,21.0
166,2016-04-26,TSN,53.0,12.0,66.18,20.0
167,2016-04-26,UPS,105.35,17.0,0.0,0.0
168,2016-04-26,URBN,29.7,6.0,31.51,12.0
169,2016-04-26,VFC,63.9,15.0,66.47,10.0
170,2016-04-26,VTR,61.91,12.0,63.83,7.0
171,2016-04-26,VRSN,89.24,21.0,0.0,0.0
172,2016-04-26,VRSK,78.34,11.0,0.0,0.0
173,2016-04-26,VZ,51.59,13.0,52.68,5.0
174,2016-04-26,VRTX,78.74,7.0,86.09,19.0
175,2016-04-26,VMC,107.84,13.0,0.0,0.0
176,2016-04-26,WMT,68.64,25.0,0.0,0.0
177,2016-04-26,WBA,78.87,5.0,81.62,14.0
178,2016-04-26,WHR,151.69,8.0,182.64,13.0
179,2016-04-26,WEC,57.67,16.0,0.0,0.0
180,2016-04-26,XLNX,46.58,12.0,47.87,12.0
181,2016-04-26,XL,34.61,5.0,36.29,21.0
